superpixel	correction
130	0.9990811
131	1.0042986
132	1.0771625
133	1.0428578
134	1.3483286
135	1.2409315
136	1.2599298
137	1.1947954
138	1.3216803
139	1.3244071
140	1.5711565
141	1.479288
142	1.5517672
143	1.3349135
144	1.7134129
145	1.94738
146	1.595621
147	1.9429809
148	1.8388762
149	1.4010284
150	1.7141939
151	1.3533018
152	1.5194037
153	1.940826
154	1.6999967
155	1.6823255
156	1.4112009
157	1.651946
158	1.330734
159	1.3661953
160	0.83364
161	0.75687885
162	0.75565696
163	0.7738979
164	0.75623614
165	0.737231
166	0.70197386
167	0.73723775
168	0.7262148
169	0.7230995
170	0.75348693
171	0.6780892
172	0.6864385
173	0.66613555
174	0.65436924
175	0.63751394
176	0.6720222
177	0.5641325
178	0.633074
179	0.5976317
180	0.56296563
181	0.61022466
182	0.59307903
183	0.59796643
184	0.66888064
185	0.78765947
186	0.6941426
187	0.690507
188	0.68198866
189	0.68071544
190	0.63274944
191	0.6523944
192	0.7280263
193	0.72684306
194	0.70566213
195	0.66744775
196	0.58633435
197	0.6150238
198	0.6880837
199	0.58288616
200	0.6928318
201	0.61456454
202	0.65210587
203	0.64614004
204	0.6748163
205	0.6483695
206	0.63569045
207	0.6611114
208	0.96233875
209	0.8788116
210	0.88230395
211	0.73490775
212	0.7272961
213	0.74389094
214	0.7679402
215	0.66225123
216	0.99395657
217	1.0902272
218	1.0772921
219	1.071893
220	0.93072087
221	1.0857369
222	0.8018107
223	0.9714011
224	1.0702229
225	1.0830228
226	1.1382647
227	1.1320126
228	1.2812662
229	1.2389299
230	1.3724279
231	1.3425853
232	1.123717
233	1.0649027
234	1.0667089
235	1.1287748
236	1.3584077
237	1.2723601
238	1.366738
239	1.2316475
240	1.9933532
241	1.8142922
242	1.8108476
243	1.8223833
244	1.4907495
245	1.6069733
246	1.3653194
247	1.3472273
248	1.8934245
249	1.9500499
250	2.0129623
251	1.6582204
252	1.3315619
253	1.3791858
254	1.4096494
255	1.5162102
256	0.8873125
257	0.8534727
258	0.83395433
259	0.96882695
260	0.9638113
261	1.004361
262	1.2916229
263	0.8932691
264	0.89412826
265	0.8126256
266	0.8325226
267	0.93933725
268	0.7591143
269	0.80092347
270	0.81965184
271	0.87376374
272	0.79486585
273	0.9219083
274	0.7798384
275	0.800667
276	0.7083171
277	0.7620735
278	0.6898763
279	0.7190127
280	0.8454825
281	0.7110147
282	0.80740297
283	0.9173551
284	0.8604643
285	0.9595993
286	0.73168564
287	0.78633446
288	0.621629
289	0.6883474
290	0.7471248
291	0.9139515
292	0.92646843
293	0.85078484
294	0.8813168
295	0.87691796
296	0.6461607
297	0.7076112
298	0.6505828
299	0.5889725
300	0.80047125
301	0.6414262
302	0.8821571
303	0.788695
304	1.0961593
305	1.1369724
306	1.0620759
307	1.0333401
308	0.97483814
309	1.0588768
310	0.9523273
311	0.9183975
312	1.1821418
313	1.1393539
314	1.1504356
315	1.151894
316	0.9408455
317	1.2190433
318	1.0231489
319	1.0658135
320	1.0785797
321	1.1818223
322	1.248228
323	1.4130589
324	1.3920689
325	1.3211337
326	1.6052622
327	1.486093
328	1.1539546
329	1.0854442
330	1.0881878
331	1.1249292
332	1.2948099
333	1.2720021
334	1.3834805
